time_s,speed_kmh
0,0.0
1,0.2
2,0.4
3,0.6
4,0.8
5,1.0
6,1.3
7,1.5
8,1.7
9,2.0
10,2.2
11,2.5
12,2.7
13,3.0
14,3.3
15,3.5
16,3.8
17,4.1
18,4.4
19,4.7
20,5.0
21,5.3
22,5.6
23,5.9
24,6.2
25,6.5
26,6.8
27,7.1
28,7.4
29,7.8
30,8.1
31,8.4
32,8.7
33,9.0
34,9.4
35,9.7
36,10.0
37,10.3
38,10.6
39,11.0
40,11.3
41,11.6
42,11.9
43,12.2
44,12.5
45,12.8
46,13.1
47,13.4
48,13.7
49,14.0
50,14.2
51,14.5
52,14.8
53,15.0
54,15.3
55,15.5
56,15.8
57,16.0
58,16.2
59,16.4
60,16.6
61,16.8
62,17.0
63,17.2
64,17.4
65,17.6
66,17.7
67,17.9
68,18.0
69,18.2
70,18.3
71,18.4
72,18.5
73,18.6
74,18.7
75,18.8
76,18.8
77,18.9
78,18.9
79,19.0
80,19.0
81,19.0
82,19.0
83,19.0
84,19.0
85,19.0
86,19.0
87,18.9
88,18.9
89,18.8
90,18.8
91,18.7
92,18.6
93,18.5
94,18.5
95,18.4
96,18.2
97,18.1
98,18.0
99,17.9
100,17.8
101,17.6
102,17.5
103,17.3
104,17.2
105,17.0
106,16.9
107,16.7
108,16.6
109,16.4
110,16.2
111,16.1
112,15.9
113,15.7
114,15.6
115,15.4
116,15.2
117,15.1
118,14.9
119,14.7
120,14.6
121,14.4
122,14.3
123,14.1
124,14.0
125,13.8
126,13.7
127,13.6
128,13.4
129,13.3
130,13.2
131,13.1
132,13.0
133,12.9
134,12.8
135,12.8
136,12.7
137,12.7
138,12.6
139,12.6
140,12.6
141,12.5
142,12.5
143,12.6
144,12.6
145,12.6
146,12.7
147,12.7
148,12.8
149,12.9
150,13.0
151,13.1
152,13.2
153,13.3
154,13.5
155,13.6
156,13.8
157,14.0
158,14.2
159,14.4
160,14.7
161,14.9
162,15.2
163,15.5
164,15.8
165,16.1
166,16.4
167,16.7
168,17.0
169,17.4
170,17.8
171,18.2
172,18.5
173,19.0
174,19.4
175,19.8
176,20.2
177,20.7
178,21.2
179,21.6
180,22.1
181,22.6
182,23.1
183,23.6
184,24.2
185,24.7
186,25.2
187,25.8
188,26.3
189,26.9
190,27.5
191,28.0
192,28.6
193,29.2
194,29.8
195,30.4
196,31.0
197,31.6
198,32.2
199,32.8
200,33.4
201,34.0
202,34.6
203,35.2
204,35.8
205,36.4
206,36.9
207,37.5
208,38.1
209,38.7
210,39.3
211,39.8
212,40.4
213,41.0
214,41.5
215,42.0
216,42.6
217,43.1
218,43.6
219,44.1
220,44.6
221,45.1
222,45.5
223,46.0
224,46.4
225,46.9
226,47.3
227,47.7
228,48.1
229,48.5
230,48.8
231,49.2
232,49.5
233,49.8
234,50.1
235,50.4
236,50.6
237,50.9
238,51.1
239,51.3
240,51.5
241,51.6
242,51.8
243,51.9
244,52.0
245,52.1
246,52.2
247,52.3
248,52.3
249,52.3
250,52.3
251,52.3
252,52.2
253,52.2
254,52.1
255,52.0
256,51.9
257,51.7
258,51.6
259,51.4
260,51.2
261,51.0
262,50.8
263,50.5
264,50.2
265,50.0
266,49.7
267,49.3
268,49.0
269,48.7
270,48.3
271,47.9
272,47.5
273,47.1
274,46.7
275,46.3
276,45.8
277,45.4
278,44.9
279,44.4
280,43.9
281,43.4
282,42.9
283,42.4
284,41.9
285,41.3
286,40.8
287,40.2
288,39.7
289,39.1
290,38.6
291,38.0
292,37.4
293,36.9
294,36.3
295,35.7
296,35.1
297,34.6
298,34.0
299,33.4
300,32.8
301,32.3
302,31.7
303,31.1
304,30.6
305,30.0
306,29.5
307,28.9
308,28.4
309,27.9
310,27.3
311,26.8
312,26.3
313,25.8
314,25.3
315,24.9
316,24.4
317,24.0
318,23.5
319,23.1
320,22.7
321,22.3
322,21.9
323,21.5
