time_s,speed_kmh
0,0.0
1,0.2
2,0.4
3,0.5
4,0.7
5,0.9
6,1.1
7,1.3
8,1.5
9,1.7
10,1.9
11,2.1
12,2.4
13,2.6
14,2.8
15,3.1
16,3.3
17,3.5
18,3.8
19,4.0
20,4.3
21,4.5
22,4.8
23,5.0
24,5.3
25,5.6
26,5.8
27,6.1
28,6.4
29,6.7
30,6.9
31,7.2
32,7.5
33,7.8
34,8.0
35,8.3
36,8.6
37,8.9
38,9.2
39,9.5
40,9.7
41,10.0
42,10.3
43,10.6
44,10.9
45,11.2
46,11.4
47,11.7
48,12.0
49,12.3
50,12.5
51,12.8
52,13.1
53,13.3
54,13.6
55,13.9
56,14.1
57,14.4
58,14.6
59,14.9
60,15.1
61,15.3
62,15.6
63,15.8
64,16.0
65,16.2
66,16.5
67,16.7
68,16.9
69,17.1
70,17.3
71,17.4
72,17.6
73,17.8
74,18.0
75,18.1
76,18.3
77,18.4
78,18.6
79,18.7
80,18.8
81,19.0
82,19.1
83,19.2
84,19.3
85,19.4
86,19.5
87,19.6
88,19.6
89,19.7
90,19.8
91,19.8
92,19.9
93,19.9
94,19.9
95,20.0
96,20.0
97,20.0
98,20.0
99,20.0
100,20.0
101,20.0
102,20.0
103,19.9
104,19.9
105,19.8
106,19.8
107,19.7
108,19.7
109,19.6
110,19.5
111,19.5
112,19.4
113,19.3
114,19.2
115,19.1
116,19.0
117,18.9
118,18.8
119,18.7
120,18.6
121,18.4
122,18.3
123,18.2
124,18.0
125,17.9
126,17.8
127,17.6
128,17.5
129,17.3
130,17.2
131,17.0
132,16.9
133,16.7
134,16.6
135,16.4
136,16.3
137,16.1
138,16.0
139,15.8
140,15.7
141,15.5
142,15.4
143,15.2
144,15.1
145,14.9
146,14.8
147,14.7
148,14.5
149,14.4
150,14.3
151,14.1
152,14.0
153,13.9
154,13.8
155,13.7
156,13.6
157,13.5
158,13.4
159,13.3
160,13.2
161,13.2
162,13.1
163,13.0
164,13.0
165,12.9
166,12.9
167,12.9
168,12.8
169,12.8
170,12.8
171,12.8
172,12.8
173,12.8
174,12.8
175,12.9
176,12.9
177,13.0
178,13.0
179,13.1
180,13.2
181,13.2
182,13.3
183,13.4
184,13.6
185,13.7
186,13.8
187,13.9
188,14.1
189,14.3
190,14.4
191,14.6
192,14.8
193,15.0
194,15.2
195,15.4
196,15.6
197,15.9
198,16.1
199,16.4
200,16.6
201,16.9
202,17.2
203,17.5
204,17.8
205,18.1
206,18.4
207,18.7
208,19.0
209,19.4
210,19.7
211,20.1
212,20.4
213,20.8
214,21.2
215,21.6
216,21.9
217,22.3
218,22.7
219,23.1
220,23.5
221,24.0
222,24.4
223,24.8
224,25.2
225,25.7
226,26.1
227,26.5
228,27.0
229,27.4
230,27.9
231,28.3
232,28.8
233,29.2
234,29.7
235,30.2
236,30.6
237,31.1
238,31.5
239,32.0
240,32.5
241,32.9
242,33.4
243,33.8
244,34.3
245,34.7
246,35.2
247,35.6
248,36.1
249,36.5
250,36.9
251,37.4
252,37.8
253,38.2
254,38.6
255,39.0
256,39.4
257,39.8
258,40.2
259,40.6
260,41.0
261,41.4
262,41.7
263,42.1
264,42.4
265,42.8
266,43.1
267,43.4
268,43.7
269,44.0
270,44.3
271,44.6
272,44.9
273,45.1
274,45.4
275,45.6
276,45.9
277,46.1
278,46.3
279,46.5
280,46.7
281,46.9
282,47.0
283,47.2
284,47.3
285,47.4
286,47.5
287,47.6
288,47.7
289,47.8
290,47.9
291,47.9
292,48.0
293,48.0
294,48.0
295,48.0
296,48.0
297,48.0
298,47.9
299,47.9
300,47.8
301,47.7
302,47.6
303,47.5
304,47.4
305,47.3
306,47.2
307,47.0
308,46.9
309,46.7
310,46.5
311,46.3
312,46.1
313,45.9
314,45.6
315,45.4
316,45.1
317,44.9
318,44.6
319,44.3
320,44.0
321,43.7
322,43.4
323,43.1
